ProjectID,ProjectName,ProjectType,Status,ActualHoursToDate,PlannedHours,PctComplete,RemainingHours,ForecastedRemainingHours
14,Grass-roots coherent neural-net,Fixed-Price,Complete,955.17,1718.53,55.6,763.36,763.36
125,Front-line discrete workforce,Time & Materials,In Progress,1006.71,1765.35,57.0,758.64,758.64
30,Digitized zero tolerance parallelism,Time & Materials,Complete,1066.45,1818.12,58.7,751.67,751.67
49,Automated interactive alliance,Fixed-Price,Complete,995.94,1744.88,57.1,748.94,748.94
116,Cross-platform mobile framework,Time & Materials,Complete,1055.18,1803.02,58.5,747.84,747.84
65,Robust tertiary collaboration,Time & Materials,Complete,1025.87,1771.4,57.9,745.53,745.53
12,Reverse-engineered composite capability,Fixed-Price,Complete,1123.42,1868.85,60.1,745.43,745.43
77,Networked client-driven protocol,Fixed-Price,Complete,940.15,1672.49,56.2,732.34,732.34
47,Centralized asynchronous interface,Fixed-Price,Complete,1014.79,1745.69,58.1,730.9,730.9
10,Configurable regional monitoring,Time & Materials,Complete,977.97,1701.48,57.5,723.51,723.51
73,Distributed bottom-line concept,Fixed-Price,Complete,1134.57,1842.6,61.6,708.03,708.03
104,Stand-alone zero trust hardware,Fixed-Price,Complete,897.14,1594.71,56.3,697.57,697.57
71,Distributed intangible functionalities,Time & Materials,Complete,1338.59,2019.1,66.3,680.51,680.51
97,Optimized incremental orchestration,Fixed-Price,Complete,1107.14,1783.19,62.1,676.05,676.05
114,Expanded 24 hour algorithm,Fixed-Price,Complete,1220.57,1887.64,64.7,667.07,667.07
74,Future-proofed tertiary customer loyalty,Time & Materials,Complete,1185.74,1852.42,64.0,666.68,666.68
5,Innovative content-based interface,Fixed-Price,Complete,1074.87,1730.42,62.1,655.55,655.55
57,Front-line leading edge frame,Fixed-Price,Complete,1158.0,1795.0,64.5,637.0,637.0
99,Open-source methodical productivity,Time & Materials,Complete,1218.08,1854.07,65.7,635.99,635.99
89,Seamless cohesive open architecture,Time & Materials,Complete,1227.64,1861.29,66.0,633.65,633.65
81,Total stable process improvement,Time & Materials,Complete,1191.36,1823.35,65.3,631.99,631.99
86,Customer-focused bifurcated standardization,Fixed-Price,Complete,1285.66,1911.96,67.2,626.3,626.3
41,Intuitive exuding solution,Time & Materials,Complete,1117.88,1739.68,64.3,621.8,621.8
29,Future-proofed intangible neural-net,Fixed-Price,Complete,1220.87,1836.97,66.5,616.1,616.1
67,Persistent context-sensitive parallelism,Fixed-Price,Complete,1276.82,1886.01,67.7,609.19,609.19
26,Customer-focused bottom-line support,Fixed-Price,Complete,1110.98,1713.61,64.8,602.63,602.63
16,Versatile encompassing local area network,Time & Materials,Complete,1479.81,2078.47,71.2,598.66,598.66
95,Configurable local productivity,Fixed-Price,Complete,1246.65,1843.75,67.6,597.1,597.1
8,Horizontal static installation,Time & Materials,Complete,1420.88,2007.44,70.8,586.56,586.56
96,Innovative coherent paradigm,Fixed-Price,Complete,1104.48,1674.52,66.0,570.04,570.04
33,Open-architected client-driven circuit,Time & Materials,Complete,1170.85,1737.33,67.4,566.48,566.48
22,AI-driven incremental strategy,Time & Materials,Complete,1266.27,1831.53,69.1,565.26,565.26
112,Devolved encompassing capability,Fixed-Price,Complete,1327.97,1892.04,70.2,564.07,564.07
53,Networked heuristic architecture,Time & Materials,Complete,1195.49,1714.65,69.7,519.16,519.16
91,Profit-focused secondary leverage,Fixed-Price,Complete,1383.24,1900.51,72.8,517.27,517.27
24,Balanced disintermediate intranet,Time & Materials,Complete,1326.07,1837.08,72.2,511.01,511.01
34,Sharable fresh-thinking matrices,Fixed-Price,Complete,1347.86,1855.41,72.6,507.55,507.55
103,Phased context-sensitive knowledge base,Time & Materials,Complete,1314.91,1817.52,72.3,502.61,502.61
76,Intuitive value-added hierarchy,Fixed-Price,Complete,1029.7,1527.86,67.4,498.16,498.16
43,Multi-tiered systemic conglomeration,Fixed-Price,Complete,1364.66,1851.81,73.7,487.15,487.15
123,Visionary resilient parallelism,Time & Materials,Complete,1264.39,1745.63,72.4,481.24,481.24
19,Proactive secondary solution,Fixed-Price,Complete,1427.27,1907.95,74.8,480.68,480.68
18,Quality-focused cloud-native frame,Fixed-Price,Complete,1295.1,1770.17,73.2,475.07,475.07
82,Polarised zero tolerance implementation,Time & Materials,Complete,1334.08,1801.13,74.1,467.05,467.05
113,Innovative holistic conglomeration,Fixed-Price,Complete,1348.67,1796.29,75.1,447.62,447.62
25,Networked sustainable help-desk,Fixed-Price,Complete,1418.1,1861.95,76.2,443.85,443.85
13,Public-key content-based hardware,Time & Materials,Complete,1381.6,1822.6,75.8,441.0,441.0
126,Managed national website,Fixed-Price,In Progress,0.0,437.61,0.0,437.61,437.61
36,Cross-platform bottom-line analyzer,Fixed-Price,Complete,1310.18,1741.03,75.3,430.85,430.85
119,Diverse motivating parallelism,Time & Materials,Complete,1347.09,1761.06,76.5,413.97,413.97
55,Focused systemic firmware,Fixed-Price,Complete,1560.45,1897.83,82.2,337.38,337.38
94,Profit-focused incremental project,Time & Materials,Complete,1532.43,1866.67,82.1,334.24,334.24
122,Public-key impactful customer loyalty,Time & Materials,Complete,1295.37,1603.47,80.8,308.1,308.1
121,Team-oriented zero defect access,Fixed-Price,Complete,1324.44,1591.04,83.2,266.6,266.6
50,Innovative 24 hour instruction set,Time & Materials,Complete,1337.82,1600.67,83.6,262.85,262.85
46,Reverse-engineered discrete application,Fixed-Price,Complete,1423.29,1677.66,84.8,254.37,254.37
48,Team-oriented incremental flexibility,Time & Materials,Complete,1468.04,1700.16,86.3,232.12,232.12
1,Front-line scalable synergy,Time & Materials,Complete,1346.74,1576.27,85.4,229.53,229.53
7,Proactive holistic data-warehouse,Time & Materials,Complete,1379.82,1558.6,88.5,178.78,178.78
87,User-friendly bifurcated array,Time & Materials,Complete,1712.47,1885.25,90.8,172.78,172.78
40,Centralized logistical internet solution,Fixed-Price,Complete,1529.01,1701.29,89.9,172.28,172.28
124,User-centric empowering initiative,Time & Materials,Complete,1371.79,1501.16,91.4,129.37,129.37
37,Streamlined real-time intranet,Fixed-Price,Complete,1511.35,1563.04,96.7,51.69,51.69
15,Grass-roots optimizing capacity,Fixed-Price,Complete,1432.15,1446.18,99.0,14.03,14.03
