ProjectID,ProjectName,Status,BusinessUnit,ContractValue,RevenueToDate,LaborCostToDate,ExpensesToDate,TotalCostsToDate,ExpectedCostsAtCompletion,ExpectedProfit
38,Reactive transitional service-desk,Complete,Healthcare,336380.62,179066.61,279684.29,21540.57,301224.86,565857.61,-229476.99
76,Intuitive value-added hierarchy,Complete,Government,294915.8,198758.26,317216.25,38348.41,355564.66,527583.78,-232667.98
17,Persistent leading edge software,Complete,Healthcare,363839.12,198328.66,299431.87,25894.26,325326.13,596819.31,-232980.19
97,Optimized incremental orchestration,Complete,Retail,369183.26,229217.05,333762.11,40190.78,373952.89,602298.77,-233115.51
40,Centralized logistical internet solution,Complete,Media & Entertainment,309739.95,278374.34,477881.88,12404.44,490286.32,545528.95,-235789.0
68,Devolved value-added hub,Complete,Energy,390314.21,149618.42,227344.16,13605.92,240950.08,628573.93,-238259.72
58,Fundamental optimal instruction set,Complete,Retail,353297.39,175830.58,275295.66,27813.5,303109.16,609038.98,-255741.59
31,Grass-roots fault-tolerant complexity,Complete,Retail,467637.64,209593.0,296184.85,29406.25,325591.1,726449.13,-258811.49
67,Persistent context-sensitive parallelism,Complete,Retail,378022.64,255919.57,397244.24,40403.85,437648.09,646456.56,-268433.92
39,Smart asynchronous protocol,Complete,Energy,317147.36,175187.62,297527.73,29983.78,327511.51,592903.82,-275756.46
14,Grass-roots coherent neural-net,Complete,Retail,309329.76,171927.47,299109.89,29629.22,328739.11,591463.33,-282133.57
83,Secured AI-powered neural-net,Complete,Retail,410828.08,238339.34,368423.66,34151.02,402574.68,693922.31,-283094.23
61,Upgradable mobile instruction set,Complete,Energy,325158.63,133858.89,240271.51,12443.1,252714.61,613872.87,-288714.24
37,Streamlined real-time intranet,Complete,Healthcare,164476.21,159036.95,446785.29,9353.66,456138.95,471739.45,-307263.24
36,Cross-platform bottom-line analyzer,Complete,Retail,272395.6,204986.28,415041.0,25595.75,440636.75,585539.24,-313143.64
44,Open-architected responsive array,Complete,Energy,330086.14,192853.51,343881.06,36524.73,380405.79,651098.74,-321012.6
104,Stand-alone zero trust hardware,Complete,Government,200347.09,112709.76,279028.48,29893.76,308922.24,549124.32,-348777.23
11,Future-proofed zero trust hub,Complete,Government,256611.09,105386.13,236806.61,19672.8,256479.41,624517.29,-367906.2
26,Customer-focused bottom-line support,Complete,Government,199850.86,129568.75,365964.22,8050.84,374015.06,576892.42,-377041.56
73,Distributed bottom-line concept,Complete,Government,238275.29,146716.59,365098.95,14628.53,379727.48,616696.95,-378421.66
25,Networked sustainable help-desk,Complete,Government,220903.6,168244.79,449282.44,18335.45,467617.89,613977.25,-393073.65
102,Virtual intangible matrices,Complete,Retail,223498.63,104379.69,260254.11,28699.47,288953.58,618709.74,-395211.11
49,Automated interactive alliance,Complete,Healthcare,170840.19,97511.91,312672.04,14214.4,326886.44,572702.79,-401862.6
100,Open-source asynchronous monitoring,Complete,Retail,230148.44,111079.22,284891.02,24970.91,309861.93,642012.46,-411864.02
78,Open-source mobile microservice,Complete,Media & Entertainment,324415.74,149068.33,298951.59,42680.61,341632.2,743490.33,-419074.59
113,Innovative holistic conglomeration,Complete,Energy,191495.35,143776.36,440963.39,22814.71,463778.1,617704.82,-426209.47
120,User-centric coherent help-desk,Complete,Healthcare,190931.92,70444.31,213500.85,15530.29,229031.14,620764.9,-429832.98
117,Public-key actuating implementation,Complete,Retail,123124.29,62948.59,267660.8,16272.2,283933.0,555358.77,-432234.48
77,Networked client-driven protocol,Complete,Retail,138509.69,77859.89,297391.38,28789.14,326180.52,580262.36,-441752.67
19,Proactive secondary solution,Complete,Energy,183338.65,137149.17,447075.68,21413.88,468489.56,626268.78,-442930.13
57,Front-line leading edge frame,Complete,Retail,152993.96,98700.28,355820.59,31533.72,387354.31,600432.63,-447438.67
46,Reverse-engineered discrete application,Complete,Government,54067.31,45869.52,435168.55,12527.34,447695.89,527707.97,-473640.66
69,Managed responsive migration,Complete,Energy,107070.81,50735.7,263963.24,15440.54,279403.78,589643.73,-482572.92
95,Configurable local productivity,Complete,Healthcare,94615.75,63974.36,396108.49,12017.35,408125.84,603603.28,-508987.53
63,Innovative high-level parallelism,Complete,Government,120565.72,54825.44,246781.39,40956.05,287737.44,632758.62,-512192.9
2,Balanced systemic firmware,Complete,Healthcare,79273.22,44307.13,313247.02,22841.81,336088.83,601321.77,-522048.55
12,Reverse-engineered composite capability,Complete,Healthcare,123919.61,74491.68,364422.47,25408.53,389831.0,648498.04,-524578.43
86,Customer-focused bifurcated standardization,Complete,Healthcare,91602.28,61596.16,406947.82,8998.68,415946.5,618571.83,-526969.55
91,Profit-focused secondary leverage,Complete,Healthcare,91857.83,66856.49,423919.26,27298.9,451218.16,619953.6,-528095.77
23,Adaptive cloud-native installation,Complete,Government,171387.33,74775.2,280125.58,35356.49,315482.07,723095.79,-551708.46
60,Intuitive data-driven collaboration,Complete,Government,92199.44,44349.25,291979.19,27249.91,319229.1,663658.2,-571458.76
90,Realigned leading edge firmware,Complete,Healthcare,61973.76,31661.9,309472.76,19278.48,328751.24,643484.78,-581511.02
101,Upgradable next generation task-force,Complete,Retail,161358.34,31710.24,122958.16,28514.61,151472.77,770772.97,-609414.63
