ConsultantID,Title,ProjectID,ProjectName,BusinessUnit,TotalHours,FirstWorked,LastWorked
3,,74,Future-proofed tertiary customer loyalty,Healthcare,22.82,2026-01-24 21:01:02.828720,2026-02-07 10:19:11.576188
4,Senior Consultant,36,Cross-platform bottom-line analyzer,Retail,159.36,2023-01-03 17:50:05.903616,2023-01-22 21:48:57.757712
4,Senior Consultant,16,Versatile encompassing local area network,Media & Entertainment,158.27,2021-09-24 17:56:08.975924,2021-10-08 02:44:58.571671
4,Senior Consultant,123,Visionary resilient parallelism,Retail,156.24,2029-09-21 10:28:08.474477,2029-10-19 22:14:26.652144
4,Senior Consultant,45,Self-enabling national contingency,Retail,151.71,2024-02-09 16:48:49.844342,2024-03-01 06:37:37.442749
4,Senior Consultant,87,User-friendly bifurcated array,Government,149.88,2027-02-03 00:28:03.177758,2027-02-22 08:04:52.458930
4,Senior Consultant,102,Virtual intangible matrices,Retail,149.45,2028-01-08 21:18:04.030394,2028-02-06 14:32:41.463143
4,Senior Consultant,39,Smart asynchronous protocol,Energy,146.01,2023-03-12 15:28:24.757416,2023-04-04 10:51:14.280305
4,Senior Consultant,31,Grass-roots fault-tolerant complexity,Retail,142.73,2022-10-10 13:01:45.549235,2022-10-30 03:48:42.203683
4,Senior Consultant,57,Front-line leading edge frame,Retail,126.3,2024-12-04 07:14:45.334108,2024-12-30 20:47:58.235158
4,Senior Consultant,7,Proactive holistic data-warehouse,Retail,126.1,2020-08-28 12:53:41.419585,2020-09-18 08:08:18.606224
4,Senior Consultant,119,Diverse motivating parallelism,Government,125.46,2029-06-29 12:52:04.514139,2029-07-23 03:07:23.097678
4,Senior Consultant,75,Networked full-range task-force,Media & Entertainment,120.45,2026-02-10 17:19:50.152831,2026-03-05 15:09:59.662482
4,Senior Consultant,54,Virtual contextually-based approach,Energy,117.85,2024-10-23 02:54:43.923775,2024-11-09 12:26:07.585543
4,Senior Consultant,25,Networked sustainable help-desk,Government,115.36,2022-04-05 11:47:05.265561,2022-04-25 05:27:45.048344
4,Senior Consultant,63,Innovative high-level parallelism,Government,112.33,2025-03-30 09:25:02.430300,2025-04-20 11:37:31.934798
4,Senior Consultant,28,Automated data-driven firmware,Retail,109.21,2022-09-08 12:23:37.166275,2022-09-16 13:28:06.896068
4,Senior Consultant,13,Public-key content-based hardware,Government,102.07,2021-05-06 19:29:11.825925,2021-05-19 15:37:13.615612
4,Senior Consultant,78,Open-source mobile microservice,Media & Entertainment,99.65,2026-07-23 00:59:37.414576,2026-08-11 23:07:14.076634
4,Senior Consultant,96,Innovative coherent paradigm,Retail,96.18,2027-08-23 06:19:15.376570,2027-09-15 17:49:03.145654
4,Senior Consultant,60,Intuitive data-driven collaboration,Government,90.18,2025-01-22 13:36:19.688216,2025-02-01 23:07:17.222278
4,Senior Consultant,117,Public-key actuating implementation,Retail,84.41,2029-01-15 06:19:59.685551,2029-01-28 03:56:24.684672
4,Senior Consultant,105,User-centric fresh-thinking microservice,Media & Entertainment,81.86,2028-04-14 09:30:00.679398,2028-05-07 14:44:56.053227
4,Senior Consultant,33,Open-architected client-driven circuit,Media & Entertainment,77.39,2022-10-30 03:48:42.203683,2022-11-16 01:22:13.671486
4,Senior Consultant,111,Stand-alone responsive portal,Retail,75.96,2028-06-25 10:37:20.336308,2028-07-13 06:31:00.236636
4,Senior Consultant,1,Front-line scalable synergy,Retail,71.29,2020-01-15 01:52:22.889220,2020-02-02 22:30:26.989496
4,Senior Consultant,51,Virtual logistical hub,Government,69.53,2024-08-21 13:16:40.195577,2024-09-09 03:47:30.138796
4,Senior Consultant,108,Robust next generation analyzer,Government,67.63,2028-06-08 10:48:20.255234,2028-06-25 10:37:20.336308
4,Senior Consultant,66,Fully-configurable homogeneous portal,Media & Entertainment,62.8,2025-08-23 10:54:19.796208,2025-09-09 15:40:57.954256
4,Senior Consultant,90,Realigned leading edge firmware,Healthcare,60.06,2027-04-28 09:51:56.784700,2027-05-13 15:05:45.151866
4,Senior Consultant,72,Focused value-added focus group,Retail,59.66,2026-01-09 17:53:29.919358,2026-02-06 14:03:48.463480
4,Senior Consultant,42,Total optimizing alliance,Retail,58.66,2023-05-11 18:10:45.888090,2023-06-03 22:00:36.427389
4,Senior Consultant,93,Decentralized discrete core,Energy,54.41,2027-06-21 05:15:36.256978,2027-07-19 11:14:32.977520
4,Senior Consultant,4,Virtual regional website,Government,53.21,2020-07-08 19:36:54.916490,2020-07-30 22:46:11.448913
4,Senior Consultant,81,Total stable process improvement,Healthcare,51.61,2026-09-27 05:41:50.817400,2026-10-27 16:33:01.193387
4,Senior Consultant,22,AI-driven incremental strategy,Retail,49.49,2022-01-12 04:59:28.320672,2022-01-29 18:17:19.183257
4,Senior Consultant,69,Managed responsive migration,Energy,45.88,2025-10-26 01:13:58.916038,2025-11-21 04:28:16.981792
4,Senior Consultant,84,Reverse-engineered zero tolerance alliance,Energy,45.8,2026-12-09 13:09:02.171083,2026-12-23 21:38:54.193478
4,Senior Consultant,99,Open-source methodical productivity,Government,41.82,2027-09-27 07:01:57.413142,2027-10-14 21:46:11.230475
4,Senior Consultant,48,Team-oriented incremental flexibility,Energy,34.19,2024-05-27 08:20:09.966072,2024-06-13 22:06:40.888596
4,Senior Consultant,114,Expanded 24 hour algorithm,Energy,33.24,2028-10-13 10:38:54.680522,2028-11-02 14:27:26.734423
4,Senior Consultant,10,Configurable regional monitoring,Government,32.42,2020-10-30 11:51:30.045096,2020-11-20 20:12:59.996168
4,Senior Consultant,19,Proactive secondary solution,Energy,30.66,2021-11-01 17:51:18.780690,2021-11-21 16:10:35.599985
5,Senior Consultant,48,Team-oriented incremental flexibility,Energy,154.06,2024-07-07 12:37:39.136125,2024-07-24 09:12:20.467713
5,Senior Consultant,19,Proactive secondary solution,Energy,152.11,2021-12-04 11:26:56.412354,2021-12-16 10:15:14.167131
5,Senior Consultant,95,Configurable local productivity,Healthcare,137.05,2027-09-05 04:20:29.263547,2027-10-01 07:07:32.084033
5,Senior Consultant,114,Expanded 24 hour algorithm,Energy,126.47,2028-12-09 01:14:39.044944,2028-12-31 10:04:03.474077
5,Senior Consultant,1,Front-line scalable synergy,Retail,122.06,2020-02-20 05:25:07.235860,2020-03-16 15:13:48.004686
5,Senior Consultant,73,Distributed bottom-line concept,Government,104.6,2026-02-28 17:48:41.910766,2026-03-22 10:49:24.761837
5,Senior Consultant,13,Public-key content-based hardware,Government,103.35,2021-06-10 17:38:37.583589,2021-06-22 12:15:18.519781
5,Senior Consultant,78,Open-source mobile microservice,Media & Entertainment,102.84,2026-09-02 18:16:41.913018,2026-10-02 02:03:16.303250
5,Senior Consultant,62,Universal exuding open architecture,Government,96.5,2025-04-02 04:37:45.707353,2025-04-23 22:51:16.834706
5,Senior Consultant,85,Reactive impactful complexity,Government,77.56,2027-01-17 18:17:43.395892,2027-02-01 03:47:03.663672
5,Senior Consultant,36,Cross-platform bottom-line analyzer,Retail,68.42,2023-02-10 13:45:49.085979,2023-03-15 00:40:10.941181
5,Senior Consultant,33,Open-architected client-driven circuit,Media & Entertainment,59.51,2022-11-16 01:22:13.671486,2022-12-04 10:02:14.066132
5,Senior Consultant,25,Networked sustainable help-desk,Government,58.47,2022-04-25 05:27:45.048344,2022-05-15 10:21:20.333006
5,Senior Consultant,54,Virtual contextually-based approach,Energy,49.51,2024-12-04 07:34:51.660401,2024-12-30 16:53:57.026118
5,Senior Consultant,110,Realigned neutral service-desk,Energy,41.31,2028-07-05 15:33:14.786398,2028-08-05 15:27:46.335214
5,Senior Consultant,6,Digitized optimizing benchmark,Retail,34.16,2020-10-03 00:22:06.535811,2020-10-21 16:37:29.684396
5,Senior Consultant,90,Realigned leading edge firmware,Healthcare,34.02,2027-06-05 21:05:02.050971,2027-06-23 03:57:03.318135
5,Senior Consultant,66,Fully-configurable homogeneous portal,Media & Entertainment,31.23,2025-10-05 17:26:24.761198,2025-10-30 18:30:40.241223
5,Senior Consultant,120,User-centric coherent help-desk,Healthcare,31.02,2029-08-21 18:45:10.858973,2029-09-11 22:47:59.239435
5,Senior Consultant,42,Total optimizing alliance,Retail,28.13,2023-06-24 23:51:20.147342,2023-07-11 14:26:15.561953
5,Senior Consultant,101,Upgradable next generation task-force,Retail,21.41,2028-01-26 20:01:48.552962,2028-02-19 23:15:53.004209
6,Associate Partner,112,Devolved encompassing capability,Energy,149.11,2028-09-08 21:47:26.573470,2028-09-30 09:07:53.879586
6,Associate Partner,29,Future-proofed intangible neural-net,Healthcare,132.37,2022-11-02 20:10:29.968939,2022-11-23 19:19:47.479804
6,Associate Partner,77,Networked client-driven protocol,Retail,124.85,2026-07-30 08:35:06.558694,2026-08-26 23:42:05.585939
6,Associate Partner,71,Distributed intangible functionalities,Healthcare,122.1,2026-01-22 04:20:28.081864,2026-02-11 20:55:13.165593
6,Associate Partner,1,Front-line scalable synergy,Retail,122.06,2020-02-20 05:25:07.235860,2020-03-16 15:13:48.004686
6,Associate Partner,65,Robust tertiary collaboration,Retail,120.06,2025-07-15 02:46:52.699807,2025-08-12 07:58:33.786976
6,Associate Partner,35,Streamlined composite capacity,Healthcare,104.27,2023-01-20 03:39:51.980100,2023-02-10 13:38:20.885263
6,Associate Partner,52,Customizable content-based local area network,Media & Entertainment,100.74,2024-11-03 09:02:05.017479,2024-11-22 06:31:19.418860
6,Associate Partner,100,Open-source asynchronous monitoring,Retail,98.7,2027-12-24 14:56:06.613946,2028-01-12 23:50:51.057278
6,Associate Partner,5,Innovative content-based interface,Government,96.93,2020-10-03 12:56:35.207447,2020-10-21 04:38:19.628873
6,Associate Partner,83,Secured AI-powered neural-net,Retail,94.98,2026-12-07 15:41:04.097737,2026-12-24 19:47:14.186352
6,Associate Partner,125,Front-line discrete workforce,Retail,94.17,2029-11-07 02:40:01.522984,2029-12-04 12:47:58.329784
6,Associate Partner,41,Intuitive exuding solution,Healthcare,92.82,2023-05-13 03:50:01.152073,2023-06-03 07:27:23.572148
6,Associate Partner,24,Balanced disintermediate intranet,Energy,87.7,2022-04-15 20:47:30.846823,2022-05-08 19:50:31.363654
6,Associate Partner,17,Persistent leading edge software,Healthcare,83.19,2021-12-02 00:43:55.664218,2021-12-16 06:42:08.350258
6,Associate Partner,118,Automated directional hardware,Healthcare,82.94,2029-05-05 16:57:08.198193,2029-06-06 17:57:45.245572
6,Associate Partner,12,Reverse-engineered composite capability,Healthcare,68.4,2021-04-21 20:15:59.056036,2021-05-10 20:13:17.974828
6,Associate Partner,58,Fundamental optimal instruction set,Retail,67.9,2025-02-05 03:52:23.235356,2025-03-04 06:25:17.040505
6,Associate Partner,95,Configurable local productivity,Healthcare,42.52,2027-08-10 09:12:30.953687,2027-09-05 04:20:29.263547
6,Associate Partner,88,Polarised reciprocal workforce,Media & Entertainment,41.95,2027-05-14 23:03:05.413537,2027-05-29 18:40:08.628236
6,Associate Partner,106,Implemented coherent middleware,Healthcare,25.54,2028-06-15 12:26:14.042794,2028-07-07 12:10:01.669346
6,Associate Partner,47,Centralized asynchronous interface,Healthcare,21.6,2024-04-15 13:43:26.666494,2024-05-11 23:33:25.636302
7,,55,Focused systemic firmware,Healthcare,158.52,2024-12-22 17:46:34.134598,2025-01-13 19:12:05.723775
7,,113,Innovative holistic conglomeration,Energy,156.96,2028-10-30 01:08:01.949306,2028-11-08 00:31:31.903745
7,,87,User-friendly bifurcated array,Government,156.16,2027-03-14 19:07:18.770060,2027-04-06 11:43:40.669642
7,,7,Proactive holistic data-warehouse,Retail,152.61,2020-10-02 22:32:53.281455,2020-10-28 08:44:49.163279
7,,117,Public-key actuating implementation,Retail,152.49,2029-03-10 10:14:47.523017,2029-03-31 05:59:59.009246
7,,15,Grass-roots optimizing capacity,Energy,151.16,2021-08-04 06:33:47.511566,2021-08-28 00:47:12.610660
7,,40,Centralized logistical internet solution,Media & Entertainment,145.03,2023-04-14 05:49:54.148435,2023-05-02 09:42:25.249652
7,,24,Balanced disintermediate intranet,Energy,140.79,2022-05-08 19:50:31.363654,2022-05-28 09:46:08.501353
7,,1,Front-line scalable synergy,Retail,122.06,2020-02-20 05:25:07.235860,2020-03-16 15:13:48.004686
7,,95,Configurable local productivity,Healthcare,111.04,2027-10-01 07:07:32.084033,2027-10-24 08:59:30.004350
7,,108,Robust next generation analyzer,Government,104.13,2028-08-01 10:01:27.838455,2028-08-25 12:16:17.400516
7,,78,Open-source mobile microservice,Media & Entertainment,102.84,2026-09-02 18:16:41.913018,2026-10-02 02:03:16.303250
7,,81,Total stable process improvement,Healthcare,99.92,2026-12-09 01:21:38.578486,2026-12-29 21:13:05.160959
7,,100,Open-source asynchronous monitoring,Retail,98.7,2027-12-24 14:56:06.613946,2028-01-12 23:50:51.057278
7,,71,Distributed intangible functionalities,Healthcare,79.11,2026-02-28 18:20:38.329053,2026-03-25 20:22:05.291890
7,,123,Visionary resilient parallelism,Retail,76.85,2029-12-09 08:01:00.365246,2029-12-26 17:16:13.958381
7,,58,Fundamental optimal instruction set,Retail,73.85,2025-03-04 06:25:17.040505,2025-03-22 19:17:26.789269
7,,120,User-centric coherent help-desk,Healthcare,65.42,2029-09-11 22:47:59.239435,2029-09-27 10:40:32.946333
7,,33,Open-architected client-driven circuit,Media & Entertainment,62.55,2022-12-22 18:54:28.356216,2023-01-13 04:54:34.290885
7,,28,Automated data-driven firmware,Retail,40.64,2022-10-24 17:39:28.086361,2022-11-12 11:09:18.197170
7,,11,Future-proofed zero trust hub,Government,38.82,2020-12-30 16:03:45.590399,2021-01-17 07:51:15.940092
7,,20,Face to face executive artificial intelligence,Media & Entertainment,38.58,2021-12-20 07:39:39.623561,2022-01-11 16:01:16.785956
7,,103,Phased context-sensitive knowledge base,Media & Entertainment,32.55,2028-05-18 11:09:01.740510,2028-06-04 02:53:50.356880
7,,68,Devolved value-added hub,Energy,30.81,2025-11-26 14:11:11.551883,2025-12-15 21:32:36.893036
7,,51,Virtual logistical hub,Government,29.62,2024-10-03 16:42:29.073839,2024-10-20 17:58:28.678214
7,,64,Triple-buffered national focus group,Government,28.39,2025-06-17 11:05:51.411046,2025-07-11 11:43:28.049886
7,,42,Total optimizing alliance,Retail,28.13,2023-06-24 23:51:20.147342,2023-07-11 14:26:15.561953
7,,47,Centralized asynchronous interface,Healthcare,21.6,2024-04-15 13:43:26.666494,2024-05-11 23:33:25.636302
7,,92,Focused transitional approach,Energy,20.99,2027-07-18 13:26:51.342817,2027-08-07 18:07:00.299840
8,Manager,36,Cross-platform bottom-line analyzer,Retail,155.3,2023-03-15 00:40:10.941181,2023-04-10 13:54:21.561557
8,Manager,112,Devolved encompassing capability,Energy,149.11,2028-09-08 21:47:26.573470,2028-09-30 09:07:53.879586
8,Manager,119,Diverse motivating parallelism,Government,142.72,2029-09-05 01:34:02.376161,2029-09-29 04:31:01.933786
8,Manager,103,Phased context-sensitive knowledge base,Media & Entertainment,133.08,2028-04-29 11:15:37.104121,2028-05-18 11:09:01.740510
8,Manager,107,Fundamental systematic parallelism,Healthcare,124.67,2028-07-10 23:08:07.200226,2028-08-05 02:17:06.950821
8,Manager,1,Front-line scalable synergy,Retail,122.06,2020-02-20 05:25:07.235860,2020-03-16 15:13:48.004686
8,Manager,50,Innovative 24 hour instruction set,Healthcare,117.15,2024-09-04 22:21:20.084324,2024-09-26 14:38:30.515441
8,Manager,10,Configurable regional monitoring,Government,115.07,2020-12-09 01:08:00.983091,2020-12-25 23:52:22.457196
8,Manager,73,Distributed bottom-line concept,Government,104.6,2026-02-28 17:48:41.910766,2026-03-22 10:49:24.761837
8,Manager,14,Grass-roots coherent neural-net,Retail,95.83,2021-07-13 01:24:38.975670,2021-07-28 19:01:11.208352
8,Manager,97,Optimized incremental orchestration,Retail,93.4,2027-11-10 16:53:55.188402,2027-11-29 04:38:40.998701
8,Manager,68,Devolved value-added hub,Energy,90.8,2025-10-30 13:53:21.164896,2025-11-26 14:11:11.551883
8,Manager,30,Digitized zero tolerance parallelism,Retail,90.73,2022-12-14 00:11:31.987837,2022-12-31 18:31:24.032227
8,Manager,76,Intuitive value-added hierarchy,Government,77.89,2026-04-21 01:49:54.050013,2026-05-16 15:45:10.508163
8,Manager,91,Profit-focused secondary leverage,Healthcare,66.66,2027-08-18 19:52:52.337644,2027-09-12 16:11:26.453934
8,Manager,23,Adaptive cloud-native installation,Government,49.69,2022-04-20 05:44:24.539184,2022-05-10 13:37:40.718534
8,Manager,54,Virtual contextually-based approach,Energy,49.51,2024-12-04 07:34:51.660401,2024-12-30 16:53:57.026118
8,Manager,45,Self-enabling national contingency,Retail,43.42,2024-03-17 12:21:56.198238,2024-04-13 14:27:01.580370
8,Manager,59,Customer-focused optimal system engine,Healthcare,34.62,2025-02-19 17:15:51.790500,2025-03-07 05:48:58.600400
8,Manager,38,Reactive transitional service-desk,Healthcare,34.26,2023-05-22 14:15:56.671861,2023-06-11 22:21:49.466299
8,Manager,6,Digitized optimizing benchmark,Retail,34.16,2020-10-03 00:22:06.535811,2020-10-21 16:37:29.684396
8,Manager,90,Realigned leading edge firmware,Healthcare,34.02,2027-06-05 21:05:02.050971,2027-06-23 03:57:03.318135
8,Manager,84,Reverse-engineered zero tolerance alliance,Energy,30.54,2027-02-11 06:14:49.462280,2027-03-12 01:04:22.415668
8,Manager,80,Public-key high-level function,Media & Entertainment,28.03,2026-11-07 22:41:27.915214,2026-11-29 06:31:59.372728
8,Manager,62,Universal exuding open architecture,Government,27.94,2025-05-10 17:59:53.390490,2025-05-31 08:12:55.529304
8,Manager,17,Persistent leading edge software,Healthcare,25.55,2021-12-16 06:42:08.350258,2022-01-05 04:00:46.029966
8,Manager,117,Public-key actuating implementation,Retail,21.79,2029-02-19 20:07:39.083509,2029-03-10 10:14:47.523017
8,Manager,28,Automated data-driven firmware,Retail,20.73,2022-10-08 00:06:22.269344,2022-10-24 17:39:28.086361
9,,18,Quality-focused cloud-native frame,Retail,159.49,2021-12-30 11:48:15.715625,2022-01-16 18:54:16.115383
9,,16,Versatile encompassing local area network,Media & Entertainment,158.27,2021-09-24 17:56:08.975924,2021-10-08 02:44:58.571671
9,,87,User-friendly bifurcated array,Government,149.88,2027-02-03 00:28:03.177758,2027-02-22 08:04:52.458930
9,,25,Networked sustainable help-desk,Government,137.88,2022-06-08 01:16:45.039820,2022-06-22 23:32:02.252258
9,,57,Front-line leading edge frame,Retail,126.3,2024-12-04 07:14:45.334108,2024-12-30 20:47:58.235158
9,,76,Intuitive value-added hierarchy,Government,106.99,2026-03-25 06:59:58.225011,2026-04-07 12:35:17.416073
9,,8,Horizontal static installation,Healthcare,100.57,2020-09-07 23:08:22.342006,2020-09-25 07:27:02.055810
9,,96,Innovative coherent paradigm,Retail,96.18,2027-08-23 06:19:15.376570,2027-09-15 17:49:03.145654
9,,119,Diverse motivating parallelism,Government,94.18,2029-07-23 03:07:23.097678,2029-08-16 18:31:28.229724
9,,92,Focused transitional approach,Energy,89.54,2027-06-11 22:30:11.985025,2027-06-28 13:05:11.302846
9,,45,Self-enabling national contingency,Retail,78.32,2024-03-01 06:37:37.442749,2024-03-17 12:21:56.198238
