ProjectID,ProjectName,ProjectType,Status,HoursExpended,ExpensesToDate,LaborCostEstimate,TotalCostToDate
108,Robust next generation analyzer,Time & Materials,Complete,747.46,9719.03,236328.17,246047.2
27,Devolved discrete circuit,Time & Materials,Complete,772.48,11839.27,233869.61,245708.88
68,Devolved value-added hub,Fixed-Price,Complete,726.61,13605.92,227344.16,240950.08
92,Focused transitional approach,Time & Materials,Complete,729.65,14048.45,223777.57,237826.02
120,User-centric coherent help-desk,Fixed-Price,Complete,674.16,15530.29,213500.85,229031.14
106,Implemented coherent middleware,Time & Materials,Complete,698.1,11353.25,214513.33,225866.58
84,Reverse-engineered zero tolerance alliance,Time & Materials,Complete,658.57,11707.16,212418.46,224125.62
85,Reactive impactful complexity,Time & Materials,Complete,621.99,21165.89,202389.33,223555.22
115,Adaptive coherent customer loyalty,Time & Materials,Complete,652.25,18026.76,201171.29,219198.05
88,Polarised reciprocal workforce,Time & Materials,Complete,556.22,28980.62,166834.48,195815.1
105,User-centric fresh-thinking microservice,Time & Materials,Complete,553.03,24901.21,163283.95,188185.16
42,Total optimizing alliance,Time & Materials,Complete,548.56,10362.43,174165.06,184527.49
51,Virtual logistical hub,Time & Materials,Complete,540.35,15801.0,166956.44,182757.44
93,Decentralized discrete core,Time & Materials,Complete,456.37,27139.82,140379.41,167519.23
101,Upgradable next generation task-force,Fixed-Price,Complete,377.86,28514.61,122958.16,151472.77
80,Public-key high-level function,Time & Materials,Complete,369.93,26638.99,118653.81,145292.8
126,Managed national website,Fixed-Price,In Progress,0.0,0.0,0.0,0.0
