ExpenseID,DeliverableID,Date,Amount,Description,Category,Billable,created_at
29,32,,3197.41,Handmade Gold Bike,Facilities,Non-Billable,2020-11-15 23:27:40.255671
30,35,,8032.47,Tasty Silk Bike,Other,Non-Billable,2020-11-16 20:31:07.102030
31,35,,5624.92,Generic Plastic Shirt,Travel,Billable,2020-11-16 20:31:07.102030
32,35,,2262.82,Handmade Gold Salad,Equipment,Billable,2020-11-16 20:31:07.102030
33,35,,6070.98,Recycled Ceramic Pizza,Software,Billable,2020-11-16 20:31:07.102030
34,35,,5484.67,Elegant Aluminum Chicken,Facilities,Billable,2020-11-16 20:31:07.102030
35,35,,9094.8,Recycled Concrete Sausages,Facilities,Billable,2020-11-16 20:31:07.102030
36,35,,7053.16,Soft Cotton Ball,Software,Billable,2020-11-16 20:31:07.102030
37,35,,5332.18,Tasty Gold Salad,Travel,Non-Billable,2020-11-16 20:31:07.102030
38,31,,4132.7,Unbranded Silk Shoes,Travel,Billable,2020-11-17 11:08:50.758589
39,31,,4315.38,Refined Steel Bacon,Equipment,Billable,2020-11-17 11:08:50.758589
40,31,,6772.13,Tasty Ceramic Tuna,Software,Billable,2020-11-17 11:08:50.758589
41,31,,4725.84,Awesome Bamboo Ball,Facilities,Billable,2020-11-17 11:08:50.758589
42,31,,6963.09,Unbranded Bamboo Salad,Other,Billable,2020-11-17 11:08:50.758589
43,31,,5661.4,Ergonomic Granite Pants,Other,Billable,2020-11-17 11:08:50.758589
44,41,,4236.18,Electronic Aluminum Car,Travel,Billable,2020-12-31 20:16:34.774709
45,41,,4173.1,Rustic Bamboo Towels,Facilities,Billable,2020-12-31 20:16:34.774709
46,41,,-5.52,Modern Bamboo Shoes,Other,Billable,2020-12-31 20:16:34.774709
47,42,,6369.28,Fantastic Cotton Gloves,Facilities,Non-Billable,2021-01-14 01:18:16.567203
48,42,,3552.0,Soft Cotton Chicken,Equipment,Non-Billable,2021-01-14 01:18:16.567203
49,42,,3934.84,Fantastic Marble Ball,Equipment,Billable,2021-01-14 01:18:16.567203
50,42,,6866.02,Fresh Bamboo Computer,Travel,Billable,2021-01-14 01:18:16.567203
51,42,,3476.53,Recycled Silk Car,Software,Billable,2021-01-14 01:18:16.567203
52,42,,4082.76,Gorgeous Silk Car,Equipment,Billable,2021-01-14 01:18:16.567203
53,42,,4386.57,Incredible Bronze Tuna,Equipment,Billable,2021-01-14 01:18:16.567203
54,42,,10567.55,Oriental Silk Gloves,Travel,Billable,2021-01-14 01:18:16.567203
55,44,,1459.51,Generic Ceramic Shirt,Other,Non-Billable,2021-01-30 06:32:01.516592
56,44,,2934.74,Generic Plastic Ball,Other,Billable,2021-01-30 06:32:01.516592
57,44,,5339.46,Generic Bamboo Shirt,Travel,Billable,2021-01-30 06:32:01.516592
58,44,,5178.79,Licensed Wooden Hat,Equipment,Billable,2021-01-30 06:32:01.516592
59,44,,4760.3,Luxurious Concrete Tuna,Facilities,Billable,2021-01-30 06:32:01.516592
60,49,,4540.24,Fresh Gold Salad,Software,Non-Billable,2021-06-02 05:56:14.561465
61,49,,6256.28,Soft Granite Gloves,Software,Billable,2021-06-02 05:56:14.561465
62,49,,2749.16,Recycled Bamboo Chips,Travel,Billable,2021-06-02 05:56:14.561465
63,49,,4701.93,Awesome Metal Fish,Software,Non-Billable,2021-06-02 05:56:14.561465
64,49,,7160.92,Electronic Marble Pants,Equipment,Billable,2021-06-02 05:56:14.561465
65,53,,8529.37,Gorgeous Cotton Chicken,Software,Billable,2021-07-26 08:38:46.914527
66,53,,7631.53,Recycled Bronze Hat,Travel,Billable,2021-07-26 08:38:46.914527
67,53,,1493.79,Generic Granite Bike,Software,Billable,2021-07-26 08:38:46.914527
68,53,,1493.06,Incredible Bronze Salad,Other,Non-Billable,2021-07-26 08:38:46.914527
69,53,,3910.16,Luxurious Rubber Car,Travel,Non-Billable,2021-07-26 08:38:46.914527
70,53,,6943.65,Gorgeous Steel Salad,Facilities,Billable,2021-07-26 08:38:46.914527
71,53,,4938.08,Sleek Concrete Pants,Travel,Billable,2021-07-26 08:38:46.914527
72,58,,2992.48,Bespoke Ceramic Ball,Other,Billable,2021-08-10 15:28:07.038410
73,58,,6020.59,Handcrafted Plastic Bacon,Software,Billable,2021-08-10 15:28:07.038410
74,58,,4303.97,Handcrafted Gold Chicken,Equipment,Billable,2021-08-10 15:28:07.038410
75,58,,5397.12,Rustic Rubber Computer,Software,Billable,2021-08-10 15:28:07.038410
76,58,,7682.62,Rustic Concrete Table,Travel,Billable,2021-08-10 15:28:07.038410
77,58,,3232.44,Unbranded Marble Chips,Software,Billable,2021-08-10 15:28:07.038410
78,60,,6974.24,Handmade Steel Chair,Travel,Non-Billable,2021-09-09 14:02:23.888994
79,60,,8950.05,Bespoke Marble Ball,Software,Billable,2021-09-09 14:02:23.888994
80,60,,4905.47,Small Bamboo Pizza,Facilities,Non-Billable,2021-09-09 14:02:23.888994
81,69,,6930.03,Unbranded Silk Car,Facilities,Non-Billable,2021-12-06 05:55:56.660953
82,69,,5734.2,Modern Plastic Keyboard,Travel,Billable,2021-12-06 05:55:56.660953
83,78,,4971.42,Refined Aluminum Pants,Facilities,Billable,2021-12-31 16:37:08.039518
84,78,,4446.2,Oriental Cotton Car,Travel,Billable,2021-12-31 16:37:08.039518
85,78,,4949.22,Refined Granite Towels,Software,Billable,2021-12-31 16:37:08.039518
86,78,,7047.04,Bespoke Cotton Hat,Facilities,Non-Billable,2021-12-31 16:37:08.039518
87,77,,2812.74,Luxurious Silk Tuna,Travel,Billable,2022-01-05 04:00:46.029966
88,77,,9804.05,Gorgeous Silk Ball,Equipment,Billable,2022-01-05 04:00:46.029966
89,77,,4954.79,Bespoke Rubber Sausages,Travel,Billable,2022-01-05 04:00:46.029966
90,77,,3247.36,Practical Marble Shirt,Software,Billable,2022-01-05 04:00:46.029966
91,77,,5075.32,Oriental Gold Table,Travel,Billable,2022-01-05 04:00:46.029966
92,81,,6506.65,Unbranded Aluminum Pants,Equipment,Billable,2022-01-16 18:54:16.115383
93,81,,3995.49,Unbranded Wooden Bacon,Travel,Billable,2022-01-16 18:54:16.115383
94,81,,5423.19,Soft Marble Gloves,Software,Non-Billable,2022-01-16 18:54:16.115383
95,81,,6865.76,Frozen Cotton Fish,Software,Billable,2022-01-16 18:54:16.115383
96,81,,6746.32,Licensed Steel Chips,Software,Non-Billable,2022-01-16 18:54:16.115383
97,81,,1876.39,Ergonomic Cotton Pizza,Equipment,Billable,2022-01-16 18:54:16.115383
98,81,,9003.47,Modern Gold Cheese,Facilities,Non-Billable,2022-01-16 18:54:16.115383
99,81,,1734.1,Gorgeous Wooden Gloves,Equipment,Non-Billable,2022-01-16 18:54:16.115383
100,86,,5470.4,Intelligent Aluminum Cheese,Software,Non-Billable,2022-02-10 01:39:55.714458
101,86,,6614.59,Sleek Silk Bacon,Software,Non-Billable,2022-02-10 01:39:55.714458
102,86,,2508.47,Soft Wooden Car,Travel,Non-Billable,2022-02-10 01:39:55.714458
103,82,,809.68,Fresh Wooden Fish,Facilities,Billable,2022-02-10 17:27:32.199582
104,82,,5508.35,Fresh Aluminum Salad,Travel,Billable,2022-02-10 17:27:32.199582
105,82,,3323.23,Intelligent Silk Car,Travel,Billable,2022-02-10 17:27:32.199582
106,90,,6128.81,Luxurious Wooden Tuna,Software,Billable,2022-03-28 01:17:06.035060
107,90,,5711.1,Oriental Granite Pizza,Equipment,Non-Billable,2022-03-28 01:17:06.035060
108,90,,6442.93,Small Concrete Gloves,Software,Non-Billable,2022-03-28 01:17:06.035060
109,90,,6270.79,Refined Marble Towels,Travel,Billable,2022-03-28 01:17:06.035060
110,90,,2443.95,Elegant Granite Salad,Equipment,Billable,2022-03-28 01:17:06.035060
111,97,,3530.18,Incredible Steel Keyboard,Travel,Billable,2022-05-28 09:46:08.501353
112,97,,7449.17,Bespoke Rubber Chair,Software,Billable,2022-05-28 09:46:08.501353
113,97,,8246.79,Handcrafted Ceramic Computer,Software,Billable,2022-05-28 09:46:08.501353
114,98,,5829.08,Tasty Gold Shirt,Software,Billable,2022-06-02 13:46:15.755987
115,98,,3455.39,Tasty Marble Pizza,Equipment,Billable,2022-06-02 13:46:15.755987
116,98,,5605.37,Modern Bamboo Car,Equipment,Billable,2022-06-02 13:46:15.755987
117,98,,3931.7,Fresh Metal Bacon,Travel,Billable,2022-06-02 13:46:15.755987
118,98,,2798.44,Small Marble Keyboard,Software,Billable,2022-06-02 13:46:15.755987
119,98,,3577.4,Gorgeous Wooden Cheese,Software,Billable,2022-06-02 13:46:15.755987
120,98,,3756.36,Gorgeous Aluminum Towels,Software,Non-Billable,2022-06-02 13:46:15.755987
121,98,,6402.75,Modern Aluminum Computer,Equipment,Billable,2022-06-02 13:46:15.755987
122,101,,3501.64,Sleek Concrete Salad,Facilities,Billable,2022-06-22 23:32:02.252258
123,101,,5450.69,Modern Gold Hat,Facilities,Non-Billable,2022-06-22 23:32:02.252258
124,101,,2858.81,Fresh Wooden Bike,Software,Billable,2022-06-22 23:32:02.252258
125,101,,3220.51,Oriental Concrete Tuna,Other,Billable,2022-06-22 23:32:02.252258
126,101,,3303.8,Luxurious Cotton Bacon,Software,Billable,2022-06-22 23:32:02.252258
127,105,,3872.7,Gorgeous Ceramic Chair,Travel,Billable,2022-08-25 16:16:33.143059
128,105,,4178.14,Practical Ceramic Chicken,Travel,Billable,2022-08-25 16:16:33.143059
129,109,,8444.26,Handcrafted Ceramic Cheese,Travel,Non-Billable,2022-09-26 14:00:14.752142
130,109,,3395.01,Recycled Bronze Pizza,Travel,Billable,2022-09-26 14:00:14.752142
131,118,,3313.48,Recycled Cotton Bike,Travel,Billable,2022-11-12 11:09:18.197170
132,118,,4729.51,Handcrafted Steel Shirt,Equipment,Non-Billable,2022-11-12 11:09:18.197170
133,118,,5379.7,Oriental Gold Chair,Software,Billable,2022-11-12 11:09:18.197170
134,118,,6153.52,Handcrafted Wooden Sausages,Facilities,Billable,2022-11-12 11:09:18.197170
135,125,,4882.24,Bespoke Wooden Ball,Travel,Billable,2022-12-19 07:21:03.938150
136,125,,7323.87,Fresh Ceramic Tuna,Software,Billable,2022-12-19 07:21:03.938150
137,125,,3463.27,Oriental Silk Sausages,Facilities,Non-Billable,2022-12-19 07:21:03.938150
138,131,,5482.48,Rustic Granite Shirt,Software,Non-Billable,2022-12-31 18:31:24.032227
139,131,,7297.47,Refined Concrete Computer,Travel,Non-Billable,2022-12-31 18:31:24.032227
140,131,,7864.68,Gorgeous Ceramic Gloves,Software,Billable,2022-12-31 18:31:24.032227
141,131,,5065.45,Recycled Aluminum Salad,Software,Non-Billable,2022-12-31 18:31:24.032227
142,131,,4466.17,Handmade Ceramic Salad,Facilities,Billable,2022-12-31 18:31:24.032227
143,131,,3389.26,Bespoke Granite Shirt,Facilities,Non-Billable,2022-12-31 18:31:24.032227
144,131,,6192.88,Intelligent Granite Pants,Software,Non-Billable,2022-12-31 18:31:24.032227
145,131,,4392.68,Ergonomic Aluminum Table,Facilities,Billable,2022-12-31 18:31:24.032227
146,134,,5075.9,Modern Steel Bike,Travel,Billable,2023-01-08 14:43:54.245756
147,134,,5271.09,Handmade Marble Pants,Software,Billable,2023-01-08 14:43:54.245756
148,134,,4195.87,Incredible Ceramic Cheese,Facilities,Billable,2023-01-08 14:43:54.245756
149,134,,6048.53,Bespoke Aluminum Ball,Equipment,Billable,2023-01-08 14:43:54.245756
150,134,,1127.77,Practical Silk Table,Travel,Billable,2023-01-08 14:43:54.245756
151,132,,5251.69,Recycled Metal Towels,Other,Non-Billable,2023-01-13 04:54:34.290885
152,132,,6447.22,Recycled Bronze Sausages,Equipment,Billable,2023-01-13 04:54:34.290885
153,132,,6334.92,Awesome Metal Cheese,Other,Billable,2023-01-13 04:54:34.290885
154,132,,3067.38,Licensed Marble Bacon,Software,Billable,2023-01-13 04:54:34.290885
155,132,,5300.27,Handcrafted Granite Ball,Facilities,Billable,2023-01-13 04:54:34.290885
156,132,,5505.87,Soft Bronze Soap,Travel,Billable,2023-01-13 04:54:34.290885
157,133,,4873.11,Recycled Concrete Mouse,Other,Billable,2023-01-17 20:40:12.277719
158,133,,4129.56,Bespoke Metal Ball,Other,Non-Billable,2023-01-17 20:40:12.277719
159,133,,6501.17,Gorgeous Cotton Chips,Facilities,Billable,2023-01-17 20:40:12.277719
160,133,,6777.33,Awesome Gold Towels,Travel,Non-Billable,2023-01-17 20:40:12.277719
161,133,,3946.49,Elegant Granite Gloves,Travel,Non-Billable,2023-01-17 20:40:12.277719
162,133,,3178.59,Soft Rubber Keyboard,Travel,Billable,2023-01-17 20:40:12.277719
163,142,,7168.96,Recycled Steel Salad,Equipment,Billable,2023-03-01 19:23:51.236927
164,142,,3844.94,Sleek Aluminum Bacon,Travel,Non-Billable,2023-03-01 19:23:51.236927
165,142,,3441.7,Soft Ceramic Chair,Equipment,Billable,2023-03-01 19:23:51.236927
166,141,,4611.34,Intelligent Ceramic Keyboard,Facilities,Billable,2023-03-10 12:42:50.531817
167,141,,4201.78,Elegant Gold Soap,Software,Billable,2023-03-10 12:42:50.531817
168,141,,3694.21,Rustic Concrete Bike,Software,Non-Billable,2023-03-10 12:42:50.531817
169,141,,6544.04,Refined Cotton Shirt,Software,Non-Billable,2023-03-10 12:42:50.531817
170,141,,8062.65,Ergonomic Marble Computer,Other,Non-Billable,2023-03-10 12:42:50.531817
171,149,,6922.84,Awesome Bronze Shirt,Travel,Billable,2023-04-10 13:54:21.561557
172,149,,1350.55,Handmade Bamboo Sausages,Equipment,Billable,2023-04-10 13:54:21.561557
173,149,,5583.72,Sleek Granite Shirt,Equipment,Billable,2023-04-10 13:54:21.561557
174,149,,6798.93,Unbranded Steel Chair,Travel,Billable,2023-04-10 13:54:21.561557
175,149,,4939.71,Awesome Bamboo Cheese,Software,Billable,2023-04-10 13:54:21.561557
176,159,,6745.84,Unbranded Ceramic Pizza,Other,Billable,2023-05-22 09:10:20.698428
177,159,,3740.19,Generic Bamboo Soap,Other,Billable,2023-05-22 09:10:20.698428
178,159,,1918.41,Bespoke Cotton Cheese,Equipment,Non-Billable,2023-05-22 09:10:20.698428
179,158,,2789.29,Handcrafted Steel Pants,Equipment,Non-Billable,2023-05-27 06:54:15.618115
180,158,,6564.37,Recycled Cotton Chips,Facilities,Billable,2023-05-27 06:54:15.618115
181,164,,6457.37,Sleek Rubber Salad,Software,Non-Billable,2023-06-11 22:21:49.466299
182,164,,4023.61,Small Plastic Salad,Facilities,Billable,2023-06-11 22:21:49.466299
183,164,,4547.48,Unbranded Concrete Table,Other,Billable,2023-06-11 22:21:49.466299
184,164,,6512.11,Bespoke Plastic Pants,Equipment,Billable,2023-06-11 22:21:49.466299
185,163,,6044.49,Unbranded Steel Sausages,Equipment,Non-Billable,2023-06-12 22:47:45.569760
186,163,,3367.19,Handcrafted Bamboo Shirt,Facilities,Non-Billable,2023-06-12 22:47:45.569760
187,163,,2889.23,Refined Wooden Shoes,Travel,Non-Billable,2023-06-12 22:47:45.569760
188,163,,7116.97,Practical Rubber Table,Equipment,Billable,2023-06-12 22:47:45.569760
189,163,,5815.85,Practical Silk Fish,Software,Billable,2023-06-12 22:47:45.569760
190,163,,4750.05,Fantastic Ceramic Mouse,Software,Billable,2023-06-12 22:47:45.569760
191,165,,7470.24,Refined Plastic Fish,Facilities,Billable,2023-06-21 04:18:49.478229
192,165,,4359.82,Modern Aluminum Tuna,Equipment,Billable,2023-06-21 04:18:49.478229
193,165,,4453.96,Elegant Marble Car,Equipment,Billable,2023-06-21 04:18:49.478229
194,165,,5730.25,Tasty Plastic Fish,Travel,Billable,2023-06-21 04:18:49.478229
195,168,,4563.93,Soft Metal Bacon,Software,Billable,2023-07-25 12:56:00.112155
196,168,,-277.62,Gorgeous Wooden Fish,Equipment,Billable,2023-07-25 12:56:00.112155
197,168,,6076.12,Tasty Granite Ball,Software,Billable,2023-07-25 12:56:00.112155
198,172,,1747.36,Intelligent Wooden Bacon,Travel,Non-Billable,2024-01-12 09:28:11.524018
199,172,,9375.3,Incredible Bamboo Mouse,Software,Billable,2024-01-12 09:28:11.524018
200,177,,1793.48,Intelligent Bronze Tuna,Other,Billable,2024-02-27 08:24:43.856957
201,177,,7383.92,Recycled Rubber Gloves,Travel,Billable,2024-02-27 08:24:43.856957
202,177,,3815.47,Fresh Marble Tuna,Software,Billable,2024-02-27 08:24:43.856957
203,177,,3579.84,Tasty Steel Pants,Other,Billable,2024-02-27 08:24:43.856957
204,177,,3804.58,Fresh Granite Chicken,Software,Billable,2024-02-27 08:24:43.856957
205,177,,5427.81,Handcrafted Bronze Pants,Travel,Non-Billable,2024-02-27 08:24:43.856957
206,177,,4621.17,Incredible Ceramic Shoes,Equipment,Billable,2024-02-27 08:24:43.856957
207,177,,6098.46,Bespoke Aluminum Bike,Facilities,Billable,2024-02-27 08:24:43.856957
208,185,,7116.41,Generic Marble Car,Equipment,Non-Billable,2024-05-06 12:25:20.871986
209,185,,6875.12,Gorgeous Silk Chips,Software,Billable,2024-05-06 12:25:20.871986
210,185,,5908.37,Licensed Metal Soap,Equipment,Billable,2024-05-06 12:25:20.871986
211,185,,3930.53,Modern Marble Shirt,Travel,Non-Billable,2024-05-06 12:25:20.871986
212,187,,5079.87,Modern Wooden Hat,Facilities,Billable,2024-05-19 15:51:51.062741
213,187,,3007.22,Intelligent Aluminum Salad,Facilities,Billable,2024-05-19 15:51:51.062741
214,187,,4440.25,Incredible Steel Salad,Software,Billable,2024-05-19 15:51:51.062741
215,188,,4696.89,Fantastic Gold Chair,Software,Billable,2024-06-11 01:51:50.051487
216,188,,4135.52,Sleek Metal Chair,Software,Non-Billable,2024-06-11 01:51:50.051487
217,188,,4673.36,Fresh Marble Soap,Equipment,Billable,2024-06-11 01:51:50.051487
218,188,,2629.08,Unbranded Marble Pants,Software,Non-Billable,2024-06-11 01:51:50.051487
219,194,,4826.49,Awesome Cotton Tuna,Travel,Non-Billable,2024-08-06 06:22:44.604887
220,194,,5718.37,Luxurious Bamboo Chicken,Travel,Billable,2024-08-06 06:22:44.604887
221,194,,6135.88,Generic Aluminum Salad,Travel,Billable,2024-08-06 06:22:44.604887
222,194,,8410.03,Fresh Gold Bacon,Equipment,Billable,2024-08-06 06:22:44.604887
223,194,,4398.39,Incredible Silk Car,Travel,Non-Billable,2024-08-06 06:22:44.604887
224,194,,5815.75,Intelligent Marble Computer,Facilities,Non-Billable,2024-08-06 06:22:44.604887
225,200,,5849.93,Fantastic Granite Pants,Travel,Billable,2024-09-26 19:32:58.030302
226,200,,2164.75,Small Gold Pizza,Travel,Billable,2024-09-26 19:32:58.030302
227,200,,6199.72,Recycled Rubber Fish,Travel,Billable,2024-09-26 19:32:58.030302
228,203,,5264.04,Fantastic Ceramic Table,Software,Billable,2024-10-16 04:55:10.027820
229,203,,4522.17,Fresh Bronze Pizza,Travel,Non-Billable,2024-10-16 04:55:10.027820
230,203,,7860.31,Elegant Wooden Car,Facilities,Billable,2024-10-16 04:55:10.027820
231,203,,4630.83,Practical Silk Cheese,Facilities,Non-Billable,2024-10-16 04:55:10.027820
232,203,,3603.61,Licensed Plastic Salad,Travel,Billable,2024-10-16 04:55:10.027820
233,203,,4448.6,Intelligent Bronze Towels,Software,Non-Billable,2024-10-16 04:55:10.027820
234,203,,6881.39,Frozen Steel Shoes,Travel,Billable,2024-10-16 04:55:10.027820
235,208,,2973.37,Frozen Gold Chicken,Equipment,Billable,2024-11-03 09:27:56.095109
236,208,,6402.37,Handcrafted Gold Keyboard,Equipment,Non-Billable,2024-11-03 09:27:56.095109
237,208,,6425.26,Tasty Silk Bike,Travel,Billable,2024-11-03 09:27:56.095109
238,216,,11123.89,Unbranded Granite Cheese,Equipment,Billable,2024-12-10 11:21:14.870460
239,216,,5302.22,Sleek Silk Car,Equipment,Billable,2024-12-10 11:21:14.870460
240,216,,6530.55,Recycled Silk Gloves,Travel,Billable,2024-12-10 11:21:14.870460
241,215,,6863.14,Incredible Steel Keyboard,Facilities,Billable,2024-12-16 11:52:38.821269
242,215,,5522.53,Generic Metal Bacon,Travel,Non-Billable,2024-12-16 11:52:38.821269
243,215,,4667.06,Oriental Plastic Keyboard,Equipment,Billable,2024-12-16 11:52:38.821269
244,221,,5273.64,Electronic Wooden Shirt,Software,Billable,2025-01-13 19:12:05.723775
245,221,,8405.39,Practical Plastic Tuna,Software,Billable,2025-01-13 19:12:05.723775
246,221,,4850.51,Fantastic Cotton Chips,Facilities,Billable,2025-01-13 19:12:05.723775
247,221,,4453.76,Frozen Plastic Gloves,Software,Billable,2025-01-13 19:12:05.723775
248,221,,7108.86,Rustic Plastic Hat,Facilities,Billable,2025-01-13 19:12:05.723775
249,221,,5523.9,Unbranded Aluminum Computer,Equipment,Billable,2025-01-13 19:12:05.723775
250,221,,2489.78,Ergonomic Concrete Towels,Equipment,Billable,2025-01-13 19:12:05.723775
251,223,,6077.84,Elegant Wooden Keyboard,Facilities,Non-Billable,2025-01-19 19:34:33.228005
252,223,,7708.04,Modern Ceramic Mouse,Travel,Billable,2025-01-19 19:34:33.228005
253,234,,5596.78,Handmade Wooden Mouse,Software,Billable,2025-02-25 17:16:47.643232
254,234,,9151.28,Refined Metal Cheese,Facilities,Non-Billable,2025-02-25 17:16:47.643232
255,234,,4255.46,Rustic Marble Gloves,Equipment,Non-Billable,2025-02-25 17:16:47.643232
256,234,,6132.17,Practical Metal Tuna,Travel,Billable,2025-02-25 17:16:47.643232
257,234,,6398.03,Frozen Gold Mouse,Travel,Billable,2025-02-25 17:16:47.643232
258,235,,2581.93,Fantastic Rubber Cheese,Travel,Billable,2025-03-04 09:23:38.331615
259,235,,4523.32,Handmade Ceramic Pants,Other,Billable,2025-03-04 09:23:38.331615
260,235,,6704.36,Luxurious Marble Ball,Other,Non-Billable,2025-03-04 09:23:38.331615
261,235,,7502.91,Frozen Concrete Car,Equipment,Billable,2025-03-04 09:23:38.331615
262,235,,4566.53,Incredible Plastic Gloves,Software,Billable,2025-03-04 09:23:38.331615
263,235,,6718.63,Small Metal Mouse,Facilities,Non-Billable,2025-03-04 09:23:38.331615
264,239,,5821.52,Bespoke Marble Salad,Travel,Non-Billable,2025-03-22 19:17:26.789269
265,239,,4626.39,Tasty Silk Pizza,Equipment,Billable,2025-03-22 19:17:26.789269
266,239,,4946.34,Oriental Silk Chair,Software,Billable,2025-03-22 19:17:26.789269
267,239,,3972.32,Handcrafted Aluminum Cheese,Equipment,Non-Billable,2025-03-22 19:17:26.789269
268,239,,8446.93,Fantastic Granite Chicken,Travel,Billable,2025-03-22 19:17:26.789269
269,240,,5998.17,Refined Cotton Fish,Other,Billable,2025-03-30 08:37:02.322199
270,240,,4567.1,Frozen Plastic Hat,Equipment,Billable,2025-03-30 08:37:02.322199
271,240,,3739.43,Fantastic Metal Pants,Facilities,Non-Billable,2025-03-30 08:37:02.322199
272,240,,1877.3,Refined Wooden Pants,Travel,Billable,2025-03-30 08:37:02.322199
273,240,,7759.68,Soft Marble Sausages,Software,Billable,2025-03-30 08:37:02.322199
274,240,,7314.69,Rustic Marble Tuna,Travel,Billable,2025-03-30 08:37:02.322199
275,243,,7509.62,Sleek Bronze Chair,Software,Non-Billable,2025-04-04 16:51:21.245176
276,243,,6309.35,Incredible Ceramic Keyboard,Software,Billable,2025-04-04 16:51:21.245176
277,243,,4053.47,Ergonomic Ceramic Car,Software,Billable,2025-04-04 16:51:21.245176
278,243,,4548.69,Bespoke Concrete Car,Travel,Billable,2025-04-04 16:51:21.245176
279,243,,4828.78,Unbranded Marble Chicken,Other,Non-Billable,2025-04-04 16:51:21.245176
280,249,,3779.95,Bespoke Wooden Keyboard,Travel,Non-Billable,2025-05-23 13:13:34.968579
281,249,,4978.12,Rustic Steel Tuna,Software,Billable,2025-05-23 13:13:34.968579
282,249,,3685.03,Rustic Steel Sausages,Software,Billable,2025-05-23 13:13:34.968579
283,251,,3269.86,Rustic Ceramic Shoes,Software,Billable,2025-05-31 08:12:55.529304
284,251,,6050.38,Elegant Steel Cheese,Travel,Non-Billable,2025-05-31 08:12:55.529304
285,253,,7230.87,Luxurious Cotton Shoes,Travel,Billable,2025-06-27 11:58:45.603478
286,253,,2371.71,Handmade Bamboo Towels,Software,Billable,2025-06-27 11:58:45.603478
287,253,,8533.31,Frozen Cotton Tuna,Equipment,Non-Billable,2025-06-27 11:58:45.603478
288,253,,6856.09,Fresh Bamboo Chicken,Equipment,Non-Billable,2025-06-27 11:58:45.603478
289,253,,6085.66,Electronic Wooden Shoes,Travel,Non-Billable,2025-06-27 11:58:45.603478
290,253,,6326.9,Practical Granite Fish,Travel,Non-Billable,2025-06-27 11:58:45.603478
291,253,,3551.51,Ergonomic Cotton Gloves,Travel,Billable,2025-06-27 11:58:45.603478
292,257,,587.16,Handmade Wooden Shirt,Equipment,Non-Billable,2025-08-05 00:54:57.433701
293,257,,8244.39,Modern Aluminum Soap,Software,Billable,2025-08-05 00:54:57.433701
294,257,,8902.28,Licensed Ceramic Gloves,Travel,Billable,2025-08-05 00:54:57.433701
