_rowid,DeliverableID,ConsultantID,Month,ActualHours,event_type,start_date,end_date
54,19,56,,33.7,process_deliverable_5,2020-09-01 20:05:23.468039,2020-09-20 03:55:49.163560
55,22,42,,100.57,process_deliverable_1,2020-09-07 23:08:22.342006,2020-09-25 07:27:02.055810
56,22,60,,100.57,process_deliverable_1,2020-09-07 23:08:22.342006,2020-09-25 07:27:02.055810
57,23,8,,146.75,process_deliverable_2,2020-09-18 08:08:18.606224,2020-10-02 22:32:53.281455
58,23,38,,146.75,process_deliverable_2,2020-09-18 08:08:18.606224,2020-10-02 22:32:53.281455
59,21,54,,23.26,process_deliverable_2,2020-09-07 20:54:59.633485,2020-10-03 00:22:06.535811
60,21,36,,23.26,process_deliverable_2,2020-09-07 20:54:59.633485,2020-10-03 00:22:06.535811
61,20,48,,132.49,process_deliverable_2,2020-09-05 17:19:51.075356,2020-10-03 12:56:35.207447
62,20,32,,132.49,process_deliverable_2,2020-09-05 17:19:51.075356,2020-10-03 12:56:35.207447
63,24,31,,100.28,process_deliverable_2,2020-09-25 07:27:02.055810,2020-10-16 14:45:29.390085
64,24,39,,100.28,process_deliverable_2,2020-09-25 07:27:02.055810,2020-10-16 14:45:29.390085
65,27,57,,96.93,process_deliverable_4,2020-10-03 12:56:35.207447,2020-10-21 04:38:19.628873
66,27,1,,96.93,process_deliverable_4,2020-10-03 12:56:35.207447,2020-10-21 04:38:19.628873
67,27,15,,96.93,process_deliverable_4,2020-10-03 12:56:35.207447,2020-10-21 04:38:19.628873
68,27,16,,96.93,process_deliverable_4,2020-10-03 12:56:35.207447,2020-10-21 04:38:19.628873
69,27,18,,96.93,process_deliverable_4,2020-10-03 12:56:35.207447,2020-10-21 04:38:19.628873
70,26,52,,34.16,process_deliverable_4,2020-10-03 00:22:06.535811,2020-10-21 16:37:29.684396
71,26,55,,34.16,process_deliverable_4,2020-10-03 00:22:06.535811,2020-10-21 16:37:29.684396
72,26,11,,34.16,process_deliverable_4,2020-10-03 00:22:06.535811,2020-10-21 16:37:29.684396
73,26,13,,34.16,process_deliverable_4,2020-10-03 00:22:06.535811,2020-10-21 16:37:29.684396
74,26,14,,34.16,process_deliverable_4,2020-10-03 00:22:06.535811,2020-10-21 16:37:29.684396
75,25,49,,152.61,process_deliverable_4,2020-10-02 22:32:53.281455,2020-10-28 08:44:49.163279
76,25,50,,152.61,process_deliverable_4,2020-10-02 22:32:53.281455,2020-10-28 08:44:49.163279
77,25,59,,152.61,process_deliverable_4,2020-10-02 22:32:53.281455,2020-10-28 08:44:49.163279
78,25,5,,152.61,process_deliverable_4,2020-10-02 22:32:53.281455,2020-10-28 08:44:49.163279
79,25,7,,152.61,process_deliverable_4,2020-10-02 22:32:53.281455,2020-10-28 08:44:49.163279
80,28,45,,159.02,process_deliverable_1,2020-10-13 16:24:08.305422,2020-11-02 03:10:13.066573
81,28,33,,159.02,process_deliverable_1,2020-10-13 16:24:08.305422,2020-11-02 03:10:13.066573
82,29,3,,107.86,process_deliverable_4,2020-10-16 14:45:29.390085,2020-11-03 02:51:38.068349
83,29,4,,107.86,process_deliverable_4,2020-10-16 14:45:29.390085,2020-11-03 02:51:38.068349
84,29,25,,107.86,process_deliverable_4,2020-10-16 14:45:29.390085,2020-11-03 02:51:38.068349
85,29,27,,107.86,process_deliverable_4,2020-10-16 14:45:29.390085,2020-11-03 02:51:38.068349
86,29,29,,107.86,process_deliverable_4,2020-10-16 14:45:29.390085,2020-11-03 02:51:38.068349
87,30,34,,46.34,process_deliverable_5,2020-10-21 04:38:19.628873,2020-11-11 03:34:50.664895
88,30,30,,46.34,process_deliverable_5,2020-10-21 04:38:19.628873,2020-11-11 03:34:50.664895
89,30,35,,46.34,process_deliverable_5,2020-10-21 04:38:19.628873,2020-11-11 03:34:50.664895
90,32,40,,23.69,process_deliverable_5,2020-10-28 08:44:49.163279,2020-11-15 23:27:40.255671
91,32,44,,23.69,process_deliverable_5,2020-10-28 08:44:49.163279,2020-11-15 23:27:40.255671
92,32,47,,23.69,process_deliverable_5,2020-10-28 08:44:49.163279,2020-11-15 23:27:40.255671
93,35,54,,159.96,process_deliverable_5,2020-11-03 02:51:38.068349,2020-11-16 20:31:07.102030
94,35,51,,159.96,process_deliverable_5,2020-11-03 02:51:38.068349,2020-11-16 20:31:07.102030
95,35,53,,159.96,process_deliverable_5,2020-11-03 02:51:38.068349,2020-11-16 20:31:07.102030
96,31,37,,106.84,process_deliverable_5,2020-10-21 16:37:29.684396,2020-11-17 11:08:50.758589
97,31,41,,106.84,process_deliverable_5,2020-10-21 16:37:29.684396,2020-11-17 11:08:50.758589
98,31,43,,106.84,process_deliverable_5,2020-10-21 16:37:29.684396,2020-11-17 11:08:50.758589
99,33,21,,32.42,process_deliverable_1,2020-10-30 11:51:30.045096,2020-11-20 20:12:59.996168
100,33,60,,32.42,process_deliverable_1,2020-10-30 11:51:30.045096,2020-11-20 20:12:59.996168
101,34,8,,131.92,process_deliverable_2,2020-11-02 03:10:13.066573,2020-11-28 01:11:26.926920
102,34,6,,131.92,process_deliverable_2,2020-11-02 03:10:13.066573,2020-11-28 01:11:26.926920
103,36,42,,49.31,process_deliverable_1,2020-11-19 20:22:55.288590,2020-12-06 18:31:19.688930
104,36,48,,49.31,process_deliverable_1,2020-11-19 20:22:55.288590,2020-12-06 18:31:19.688930
105,37,31,,55.34,process_deliverable_2,2020-11-20 20:12:59.996168,2020-12-09 01:08:00.983091
106,37,12,,55.34,process_deliverable_2,2020-11-20 20:12:59.996168,2020-12-09 01:08:00.983091
107,38,17,,72.82,process_deliverable_4,2020-11-28 01:11:26.926920,2020-12-15 08:49:16.868505
108,38,19,,72.82,process_deliverable_4,2020-11-28 01:11:26.926920,2020-12-15 08:49:16.868505
109,38,56,,72.82,process_deliverable_4,2020-11-28 01:11:26.926920,2020-12-15 08:49:16.868505
110,38,15,,72.82,process_deliverable_4,2020-11-28 01:11:26.926920,2020-12-15 08:49:16.868505
111,38,16,,72.82,process_deliverable_4,2020-11-28 01:11:26.926920,2020-12-15 08:49:16.868505
112,40,22,,115.07,process_deliverable_4,2020-12-09 01:08:00.983091,2020-12-25 23:52:22.457196
113,40,23,,115.07,process_deliverable_4,2020-12-09 01:08:00.983091,2020-12-25 23:52:22.457196
114,40,18,,115.07,process_deliverable_4,2020-12-09 01:08:00.983091,2020-12-25 23:52:22.457196
115,40,11,,115.07,process_deliverable_4,2020-12-09 01:08:00.983091,2020-12-25 23:52:22.457196
116,40,13,,115.07,process_deliverable_4,2020-12-09 01:08:00.983091,2020-12-25 23:52:22.457196
117,39,33,,70.83,process_deliverable_2,2020-12-06 18:31:19.688930,2020-12-30 16:03:45.590399
118,39,20,,70.83,process_deliverable_2,2020-12-06 18:31:19.688930,2020-12-30 16:03:45.590399
119,41,34,,41.4,process_deliverable_5,2020-12-15 08:49:16.868505,2020-12-31 20:16:34.774709
120,41,14,,41.4,process_deliverable_5,2020-12-15 08:49:16.868505,2020-12-31 20:16:34.774709
121,41,59,,41.4,process_deliverable_5,2020-12-15 08:49:16.868505,2020-12-31 20:16:34.774709
122,42,40,,75.7,process_deliverable_5,2020-12-25 23:52:22.457196,2021-01-14 01:18:16.567203
123,42,5,,75.7,process_deliverable_5,2020-12-25 23:52:22.457196,2021-01-14 01:18:16.567203
124,42,7,,75.7,process_deliverable_5,2020-12-25 23:52:22.457196,2021-01-14 01:18:16.567203
125,43,24,,38.82,process_deliverable_4,2020-12-30 16:03:45.590399,2021-01-17 07:51:15.940092
126,43,26,,38.82,process_deliverable_4,2020-12-30 16:03:45.590399,2021-01-17 07:51:15.940092
127,43,25,,38.82,process_deliverable_4,2020-12-30 16:03:45.590399,2021-01-17 07:51:15.940092
128,43,27,,38.82,process_deliverable_4,2020-12-30 16:03:45.590399,2021-01-17 07:51:15.940092
129,43,29,,38.82,process_deliverable_4,2020-12-30 16:03:45.590399,2021-01-17 07:51:15.940092
130,44,54,,103.39,process_deliverable_5,2021-01-17 07:51:15.940092,2021-01-30 06:32:01.516592
131,44,30,,103.39,process_deliverable_5,2021-01-17 07:51:15.940092,2021-01-30 06:32:01.516592
132,44,35,,103.39,process_deliverable_5,2021-01-17 07:51:15.940092,2021-01-30 06:32:01.516592
133,45,45,,145.94,process_deliverable_1,2021-03-17 06:12:44.117519,2021-04-05 05:14:35.556374
134,45,37,,145.94,process_deliverable_1,2021-03-17 06:12:44.117519,2021-04-05 05:14:35.556374
135,46,60,,131.16,process_deliverable_2,2021-04-05 05:14:35.556374,2021-04-21 20:15:59.056036
136,46,38,,131.16,process_deliverable_2,2021-04-05 05:14:35.556374,2021-04-21 20:15:59.056036
137,47,36,,68.4,process_deliverable_4,2021-04-21 20:15:59.056036,2021-05-10 20:13:17.974828
138,47,32,,68.4,process_deliverable_4,2021-04-21 20:15:59.056036,2021-05-10 20:13:17.974828
139,47,44,,68.4,process_deliverable_4,2021-04-21 20:15:59.056036,2021-05-10 20:13:17.974828
140,47,47,,68.4,process_deliverable_4,2021-04-21 20:15:59.056036,2021-05-10 20:13:17.974828
141,47,51,,68.4,process_deliverable_4,2021-04-21 20:15:59.056036,2021-05-10 20:13:17.974828
142,48,21,,102.07,process_deliverable_1,2021-05-06 19:29:11.825925,2021-05-19 15:37:13.615612
143,48,8,,102.07,process_deliverable_1,2021-05-06 19:29:11.825925,2021-05-19 15:37:13.615612
144,49,48,,75.74,process_deliverable_5,2021-05-10 20:13:17.974828,2021-06-02 05:56:14.561465
145,49,53,,75.74,process_deliverable_5,2021-05-10 20:13:17.974828,2021-06-02 05:56:14.561465
146,49,41,,75.74,process_deliverable_5,2021-05-10 20:13:17.974828,2021-06-02 05:56:14.561465
147,50,31,,112.9,process_deliverable_2,2021-05-19 15:37:13.615612,2021-06-10 17:38:37.583589
148,50,39,,112.9,process_deliverable_2,2021-05-19 15:37:13.615612,2021-06-10 17:38:37.583589
149,52,57,,103.35,process_deliverable_4,2021-06-10 17:38:37.583589,2021-06-22 12:15:18.519781
150,52,1,,103.35,process_deliverable_4,2021-06-10 17:38:37.583589,2021-06-22 12:15:18.519781
151,52,43,,103.35,process_deliverable_4,2021-06-10 17:38:37.583589,2021-06-22 12:15:18.519781
152,52,56,,103.35,process_deliverable_4,2021-06-10 17:38:37.583589,2021-06-22 12:15:18.519781
153,52,15,,103.35,process_deliverable_4,2021-06-10 17:38:37.583589,2021-06-22 12:15:18.519781
154,51,42,,29.2,process_deliverable_1,2021-06-01 02:57:37.364078,2021-06-27 14:15:48.100057
155,51,33,,29.2,process_deliverable_1,2021-06-01 02:57:37.364078,2021-06-27 14:15:48.100057
156,54,40,,53.35,process_deliverable_2,2021-06-27 14:15:48.100057,2021-07-13 01:24:38.975670
157,54,52,,53.35,process_deliverable_2,2021-06-27 14:15:48.100057,2021-07-13 01:24:38.975670
158,55,45,,48.7,process_deliverable_1,2021-06-29 02:52:45.825510,2021-07-22 14:56:12.113900
159,55,54,,48.7,process_deliverable_1,2021-06-29 02:52:45.825510,2021-07-22 14:56:12.113900
160,53,34,,144.97,process_deliverable_5,2021-06-22 12:15:18.519781,2021-07-26 08:38:46.914527
161,53,16,,144.97,process_deliverable_5,2021-06-22 12:15:18.519781,2021-07-26 08:38:46.914527
162,53,18,,144.97,process_deliverable_5,2021-06-22 12:15:18.519781,2021-07-26 08:38:46.914527
163,56,55,,95.83,process_deliverable_4,2021-07-13 01:24:38.975670,2021-07-28 19:01:11.208352
164,56,49,,95.83,process_deliverable_4,2021-07-13 01:24:38.975670,2021-07-28 19:01:11.208352
165,56,11,,95.83,process_deliverable_4,2021-07-13 01:24:38.975670,2021-07-28 19:01:11.208352
166,56,13,,95.83,process_deliverable_4,2021-07-13 01:24:38.975670,2021-07-28 19:01:11.208352
167,56,14,,95.83,process_deliverable_4,2021-07-13 01:24:38.975670,2021-07-28 19:01:11.208352
168,57,37,,97.58,process_deliverable_2,2021-07-22 14:56:12.113900,2021-08-04 06:33:47.511566
169,57,50,,97.58,process_deliverable_2,2021-07-22 14:56:12.113900,2021-08-04 06:33:47.511566
170,58,60,,103.64,process_deliverable_5,2021-07-28 19:01:11.208352,2021-08-10 15:28:07.038410
171,58,59,,103.64,process_deliverable_5,2021-07-28 19:01:11.208352,2021-08-10 15:28:07.038410
172,58,5,,103.64,process_deliverable_5,2021-07-28 19:01:11.208352,2021-08-10 15:28:07.038410
173,59,3,,151.16,process_deliverable_4,2021-08-04 06:33:47.511566,2021-08-28 00:47:12.610660
174,59,4,,151.16,process_deliverable_4,2021-08-04 06:33:47.511566,2021-08-28 00:47:12.610660
175,59,7,,151.16,process_deliverable_4,2021-08-04 06:33:47.511566,2021-08-28 00:47:12.610660
176,59,25,,151.16,process_deliverable_4,2021-08-04 06:33:47.511566,2021-08-28 00:47:12.610660
177,59,27,,151.16,process_deliverable_4,2021-08-04 06:33:47.511566,2021-08-28 00:47:12.610660
178,60,8,,127.93,process_deliverable_5,2021-08-28 00:47:12.610660,2021-09-09 14:02:23.888994
179,60,29,,127.93,process_deliverable_5,2021-08-28 00:47:12.610660,2021-09-09 14:02:23.888994
180,60,30,,127.93,process_deliverable_5,2021-08-28 00:47:12.610660,2021-09-09 14:02:23.888994
181,61,21,,158.27,process_deliverable_1,2021-09-24 17:56:08.975924,2021-10-08 02:44:58.571671
182,61,48,,158.27,process_deliverable_1,2021-09-24 17:56:08.975924,2021-10-08 02:44:58.571671
183,62,31,,64.14,process_deliverable_2,2021-10-08 02:44:58.571671,2021-10-28 19:48:03.651701
184,62,6,,64.14,process_deliverable_2,2021-10-08 02:44:58.571671,2021-10-28 19:48:03.651701
185,63,42,,126.15,process_deliverable_1,2021-10-21 12:17:29.976167,2021-11-10 04:58:06.202765
186,63,33,,126.15,process_deliverable_1,2021-10-21 12:17:29.976167,2021-11-10 04:58:06.202765
187,64,12,,142.84,process_deliverable_4,2021-10-28 19:48:03.651701,2021-11-19 11:59:57.051095
188,64,17,,142.84,process_deliverable_4,2021-10-28 19:48:03.651701,2021-11-19 11:59:57.051095
189,64,35,,142.84,process_deliverable_4,2021-10-28 19:48:03.651701,2021-11-19 11:59:57.051095
190,64,44,,142.84,process_deliverable_4,2021-10-28 19:48:03.651701,2021-11-19 11:59:57.051095
191,64,47,,142.84,process_deliverable_4,2021-10-28 19:48:03.651701,2021-11-19 11:59:57.051095
192,65,45,,77.18,process_deliverable_1,2021-11-01 02:22:33.724787,2021-11-20 14:19:57.993933
193,65,40,,77.18,process_deliverable_1,2021-11-01 02:22:33.724787,2021-11-20 14:19:57.993933
194,66,21,,30.66,process_deliverable_1,2021-11-01 17:51:18.780690,2021-11-21 16:10:35.599985
195,66,54,,30.66,process_deliverable_1,2021-11-01 17:51:18.780690,2021-11-21 16:10:35.599985
196,67,42,,143.01,process_deliverable_1,2021-11-10 04:58:06.202765,2021-11-27 00:09:18.648817
197,67,37,,143.01,process_deliverable_1,2021-11-10 04:58:06.202765,2021-11-27 00:09:18.648817
198,68,34,,95.6,process_deliverable_2,2021-11-10 04:58:06.202765,2021-12-02 00:43:55.664218
199,68,19,,95.6,process_deliverable_2,2021-11-10 04:58:06.202765,2021-12-02 00:43:55.664218
200,71,48,,150.48,process_deliverable_2,2021-11-21 16:10:35.599985,2021-12-04 11:26:56.412354
201,71,23,,150.48,process_deliverable_2,2021-11-21 16:10:35.599985,2021-12-04 11:26:56.412354
202,69,60,,106.93,process_deliverable_5,2021-11-19 11:59:57.051095,2021-12-06 05:55:56.660953
203,69,51,,106.93,process_deliverable_5,2021-11-19 11:59:57.051095,2021-12-06 05:55:56.660953
204,69,53,,106.93,process_deliverable_5,2021-11-19 11:59:57.051095,2021-12-06 05:55:56.660953
205,70,8,,65.31,process_deliverable_2,2021-11-20 14:19:57.993933,2021-12-12 02:54:03.642944
206,70,22,,65.31,process_deliverable_2,2021-11-20 14:19:57.993933,2021-12-12 02:54:03.642944
207,74,24,,83.19,process_deliverable_4,2021-12-02 00:43:55.664218,2021-12-16 06:42:08.350258
208,74,26,,83.19,process_deliverable_4,2021-12-02 00:43:55.664218,2021-12-16 06:42:08.350258
209,74,41,,83.19,process_deliverable_4,2021-12-02 00:43:55.664218,2021-12-16 06:42:08.350258
210,74,43,,83.19,process_deliverable_4,2021-12-02 00:43:55.664218,2021-12-16 06:42:08.350258
211,74,56,,83.19,process_deliverable_4,2021-12-02 00:43:55.664218,2021-12-16 06:42:08.350258
212,75,38,,152.11,process_deliverable_4,2021-12-04 11:26:56.412354,2021-12-16 10:15:14.167131
213,75,36,,152.11,process_deliverable_4,2021-12-04 11:26:56.412354,2021-12-16 10:15:14.167131
214,75,15,,152.11,process_deliverable_4,2021-12-04 11:26:56.412354,2021-12-16 10:15:14.167131
215,75,16,,152.11,process_deliverable_4,2021-12-04 11:26:56.412354,2021-12-16 10:15:14.167131
216,75,18,,152.11,process_deliverable_4,2021-12-04 11:26:56.412354,2021-12-16 10:15:14.167131
217,72,31,,52.19,process_deliverable_2,2021-11-27 00:09:18.648817,2021-12-20 07:39:39.623561
218,72,20,,52.19,process_deliverable_2,2021-11-27 00:09:18.648817,2021-12-20 07:39:39.623561
219,73,45,,128.72,process_deliverable_1,2021-12-01 06:59:33.065577,2021-12-26 01:23:20.509819
220,73,33,,128.72,process_deliverable_1,2021-12-01 06:59:33.065577,2021-12-26 01:23:20.509819
221,76,32,,106.33,process_deliverable_4,2021-12-12 02:54:03.642944,2021-12-30 11:48:15.715625
222,76,39,,106.33,process_deliverable_4,2021-12-12 02:54:03.642944,2021-12-30 11:48:15.715625
223,76,11,,106.33,process_deliverable_4,2021-12-12 02:54:03.642944,2021-12-30 11:48:15.715625
224,76,13,,106.33,process_deliverable_4,2021-12-12 02:54:03.642944,2021-12-30 11:48:15.715625
225,76,14,,106.33,process_deliverable_4,2021-12-12 02:54:03.642944,2021-12-30 11:48:15.715625
226,78,54,,101.48,process_deliverable_5,2021-12-16 10:15:14.167131,2021-12-31 16:37:08.039518
227,78,7,,101.48,process_deliverable_5,2021-12-16 10:15:14.167131,2021-12-31 16:37:08.039518
228,78,25,,101.48,process_deliverable_5,2021-12-16 10:15:14.167131,2021-12-31 16:37:08.039518
229,77,40,,25.55,process_deliverable_5,2021-12-16 06:42:08.350258,2022-01-05 04:00:46.029966
230,77,59,,25.55,process_deliverable_5,2021-12-16 06:42:08.350258,2022-01-05 04:00:46.029966
231,77,5,,25.55,process_deliverable_5,2021-12-16 06:42:08.350258,2022-01-05 04:00:46.029966
232,79,57,,38.58,process_deliverable_4,2021-12-20 07:39:39.623561,2022-01-11 16:01:16.785956
233,79,1,,38.58,process_deliverable_4,2021-12-20 07:39:39.623561,2022-01-11 16:01:16.785956
234,79,27,,38.58,process_deliverable_4,2021-12-20 07:39:39.623561,2022-01-11 16:01:16.785956
235,79,29,,38.58,process_deliverable_4,2021-12-20 07:39:39.623561,2022-01-11 16:01:16.785956
236,79,30,,38.58,process_deliverable_4,2021-12-20 07:39:39.623561,2022-01-11 16:01:16.785956
237,80,37,,50.69,process_deliverable_2,2021-12-26 01:23:20.509819,2022-01-14 21:46:56.129641
238,80,52,,50.69,process_deliverable_2,2021-12-26 01:23:20.509819,2022-01-14 21:46:56.129641
239,81,34,,159.49,process_deliverable_5,2021-12-30 11:48:15.715625,2022-01-16 18:54:16.115383
240,81,35,,159.49,process_deliverable_5,2021-12-30 11:48:15.715625,2022-01-16 18:54:16.115383
241,81,44,,159.49,process_deliverable_5,2021-12-30 11:48:15.715625,2022-01-16 18:54:16.115383
242,83,21,,49.49,process_deliverable_1,2022-01-12 04:59:28.320672,2022-01-29 18:17:19.183257
243,83,60,,49.49,process_deliverable_1,2022-01-12 04:59:28.320672,2022-01-29 18:17:19.183257
244,84,55,,53.26,process_deliverable_4,2022-01-14 21:46:56.129641,2022-01-31 05:47:47.937538
245,84,49,,53.26,process_deliverable_4,2022-01-14 21:46:56.129641,2022-01-31 05:47:47.937538
246,84,53,,53.26,process_deliverable_4,2022-01-14 21:46:56.129641,2022-01-31 05:47:47.937538
247,84,41,,53.26,process_deliverable_4,2022-01-14 21:46:56.129641,2022-01-31 05:47:47.937538
248,84,43,,53.26,process_deliverable_4,2022-01-14 21:46:56.129641,2022-01-31 05:47:47.937538
249,86,31,,103.01,process_deliverable_5,2022-01-31 05:47:47.937538,2022-02-10 01:39:55.714458
250,86,56,,103.01,process_deliverable_5,2022-01-31 05:47:47.937538,2022-02-10 01:39:55.714458
251,86,15,,103.01,process_deliverable_5,2022-01-31 05:47:47.937538,2022-02-10 01:39:55.714458
252,82,48,,83.53,process_deliverable_5,2022-01-11 16:01:16.785956,2022-02-10 17:27:32.199582
253,82,47,,83.53,process_deliverable_5,2022-01-11 16:01:16.785956,2022-02-10 17:27:32.199582
254,82,51,,83.53,process_deliverable_5,2022-01-11 16:01:16.785956,2022-02-10 17:27:32.199582
255,85,8,,123.1,process_deliverable_2,2022-01-29 18:17:19.183257,2022-02-16 21:33:23.223852
256,85,50,,123.1,process_deliverable_2,2022-01-29 18:17:19.183257,2022-02-16 21:33:23.223852
257,87,3,,106.5,process_deliverable_4,2022-02-16 21:33:23.223852,2022-03-12 12:02:10.253523
258,87,4,,106.5,process_deliverable_4,2022-02-16 21:33:23.223852,2022-03-12 12:02:10.253523
259,87,16,,106.5,process_deliverable_4,2022-02-16 21:33:23.223852,2022-03-12 12:02:10.253523
260,87,18,,106.5,process_deliverable_4,2022-02-16 21:33:23.223852,2022-03-12 12:02:10.253523
261,87,11,,106.5,process_deliverable_4,2022-02-16 21:33:23.223852,2022-03-12 12:02:10.253523
262,88,42,,111.17,process_deliverable_1,2022-03-01 18:02:04.662443,2022-03-22 02:00:18.170999
263,88,33,,111.17,process_deliverable_1,2022-03-01 18:02:04.662443,2022-03-22 02:00:18.170999
264,90,40,,129.53,process_deliverable_5,2022-03-12 12:02:10.253523,2022-03-28 01:17:06.035060
265,90,13,,129.53,process_deliverable_5,2022-03-12 12:02:10.253523,2022-03-28 01:17:06.035060
266,90,14,,129.53,process_deliverable_5,2022-03-12 12:02:10.253523,2022-03-28 01:17:06.035060
267,89,45,,82.82,process_deliverable_1,2022-03-03 12:21:25.291087,2022-04-03 02:02:26.835957
